,admissions,discharges,occupancy,day,holiday,temp,feels_like,temp_min,temp_max
2017-02-20,19.0,6.0,95.0,0,1.0,0.7541666666666668,-4.540416666666668,-0.4041666666666666,1.7458333333333333
2017-02-21,20.0,14.0,101.0,1,1.0,-0.3916666666666661,-5.298333333333335,-2.0875000000000004,2.566666666666667
2017-02-22,15.0,13.0,103.0,2,1.0,6.171199999999999,3.237599999999999,3.7920000000000003,8.931999999999999
2017-02-23,15.0,20.0,98.0,3,1.0,9.433600000000002,5.7688,6.423999999999999,13.140000000000002
2017-02-24,12.0,18.0,92.0,4,1.0,3.832916666666667,-0.9825,2.7541666666666664,5.245833333333333
2017-02-25,16.0,12.0,96.0,5,1.0,6.566,2.0573333333333337,3.4233333333333333,10.08
2017-02-26,17.0,3.0,110.0,6,1.0,-0.24920000000000012,-7.388799999999999,-0.888,0.4279999999999998
2017-02-27,10.0,14.0,106.0,0,0.0,2.7495833333333333,-4.180000000000001,2.0416666666666665,3.495833333333333
2017-02-28,17.0,14.0,109.0,1,0.0,3.7854166666666664,0.1929166666666667,1.9958333333333333,5.6875
2017-03-01,14.0,21.0,102.0,2,0.0,9.909230769230769,5.05846153846154,6.63076923076923,13.22307692307692
2017-03-02,11.0,19.0,94.0,3,0.0,-1.3887499999999993,-9.457083333333333,-2.7083333333333335,-0.3291666666666666
2017-03-03,14.0,19.0,89.0,4,0.0,-8.263199999999998,-14.163200000000002,-9.184,-7.148000000000001
2017-03-04,9.0,10.0,88.0,5,0.0,-12.645833333333334,-19.435416666666665,-13.920833333333334,-11.0375
2017-03-05,13.0,6.0,95.0,6,0.0,-12.521666666666668,-17.947916666666668,-13.954166666666666,-11.012500000000001
2017-03-06,13.0,17.0,91.0,0,0.0,-3.3058333333333336,-8.916249999999998,-4.533333333333334,-1.8041666666666665
2017-03-07,10.0,14.0,87.0,1,0.0,5.114736842105262,-1.215526315789474,3.328947368421053,8.207894736842107
2017-03-08,17.0,15.0,89.0,2,0.0,6.732903225806451,0.6183870967741938,5.125806451612903,8.54516129032258
2017-03-09,13.0,20.0,82.0,3,0.0,0.4254166666666664,-7.225833333333333,-0.2916666666666667,1.1291666666666667
2017-03-10,21.0,23.0,80.0,4,0.0,-3.520416666666667,-10.47375,-4.429166666666666,-2.4124999999999996
2017-03-11,15.0,11.0,84.0,5,0.0,-13.168750000000001,-20.701666666666664,-14.3125,-11.845833333333333
2017-03-12,10.0,3.0,91.0,6,0.0,-12.534583333333336,-18.84833333333334,-14.0625,-11.333333333333334
2017-03-13,11.0,15.0,87.0,0,0.0,-11.333333333333334,-16.87291666666666,-12.391666666666664,-10.116666666666665
2017-03-14,15.0,20.0,82.0,1,0.0,-9.651,-18.290499999999998,-10.225,-9.027499999999998
2017-03-15,7.0,22.0,67.0,2,0.0,-8.958461538461544,-17.4548717948718,-9.82051282051282,-8.064102564102567
2017-03-16,18.0,17.0,68.0,3,0.0,-5.687499999999999,-12.977083333333335,-6.870833333333334,-4.604166666666667
2017-03-17,18.0,19.0,67.0,4,0.0,-4.5275,-10.35416666666667,-6.691666666666666,-2.0583333333333336
2017-03-18,9.0,9.0,67.0,5,0.0,-3.0725,-9.047083333333335,-5.808333333333334,-0.10833333333333317
2017-03-19,14.0,5.0,76.0,6,0.0,0.13625000000000007,-5.057916666666668,-0.7958333333333331,1.3333333333333333
2017-03-20,15.0,17.0,74.0,0,0.0,-0.9455999999999994,-4.9796000000000005,-3.0279999999999996,0.872
2017-03-21,22.0,15.0,81.0,1,0.0,2.1053333333333333,-1.635666666666666,1.3766666666666665,2.7800000000000002
2017-03-22,15.0,21.0,75.0,2,0.0,-5.142083333333335,-12.982916666666668,-6.633333333333334,-3.7875
2017-03-23,13.0,23.0,65.0,3,0.0,-6.303333333333335,-12.510416666666666,-8.875,-3.5250000000000004
2017-03-24,19.0,17.0,67.0,4,0.0,1.0916666666666666,-4.050333333333334,-0.41666666666666663,2.98
2017-03-25,13.0,11.0,69.0,5,0.0,1.8363333333333332,-2.5313333333333334,1.0133333333333332,2.5133333333333336
2017-03-26,10.0,7.0,72.0,6,0.0,0.012916666666666687,-5.745833333333334,-1.1874999999999998,1.4916666666666665
2017-03-27,16.0,15.0,73.0,0,0.0,4.164074074074074,-0.3000000000000002,2.737037037037038,6.685185185185184
2017-03-28,11.0,20.0,64.0,1,0.0,5.553,2.086666666666667,3.6233333333333335,7.64
2017-03-29,17.0,12.0,69.0,2,0.0,2.8316666666666666,-2.19,1.4958333333333333,4.0625
2017-03-30,9.0,18.0,60.0,3,0.0,0.94625,-4.647916666666666,-0.7874999999999996,2.466666666666667
2017-03-31,15.0,15.0,60.0,4,0.0,2.5525,-3.295833333333333,1.666666666666667,3.819444444444445
2017-04-01,16.0,8.0,68.0,5,0.0,1.777666666666667,-3.2016666666666667,0.9566666666666666,2.4933333333333336
2017-04-02,15.0,6.0,77.0,6,0.0,3.214166666666667,-0.8600000000000008,1.9791666666666663,4.629166666666666
2017-04-03,15.0,10.0,82.0,0,0.0,6.05125,1.8041666666666665,4.5375,7.479166666666668
2017-04-04,17.0,18.0,81.0,1,0.0,8.120625,3.156875,5.928125000000001,10.75
2017-04-05,16.0,14.0,83.0,2,0.0,5.4796,0.5288,4.54,6.34
2017-04-06,13.0,20.0,76.0,3,0.0,5.4339393939393945,-0.15848484848484845,4.6818181818181825,6.48181818181818
2017-04-07,16.0,21.0,71.0,4,0.0,2.585625,-4.649375,1.6968750000000001,3.2562499999999996
2017-04-08,12.0,16.0,67.0,5,0.0,2.8387500000000006,-3.7487500000000007,1.554166666666667,3.8208333333333333
2017-04-09,14.0,8.0,73.0,6,0.0,6.555833333333333,2.3733333333333335,3.7999999999999994,9.245833333333335
2017-04-10,16.0,15.0,74.0,0,0.0,14.772916666666667,10.63,9.041666666666666,19.666666666666668
2017-04-11,17.0,18.0,73.0,1,0.0,12.744642857142859,11.379642857142859,7.925,16.742857142857144
